RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07027985445342842,0.9135210989595315,0.0,0.5201842385597171,0.5,-1.0,-0.05067761377185546,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.04377083556435068,0.4654699284291278,0.0,0.546836041572558,0.5,-0.6063823635387161,0.7938508247222554,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.0522033400818395,0.48176547251899976,0.0,0.6562857224276359,0.5,-0.7456808233360518,0.6029889895532567,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04151707522739794,0.6340332265706522,0.0,0.426754853968802,0.5,-0.604083946664141,0.46390538449339747,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08681623848558345,0.6409657877632938,0.07719716565761774,1.196418247512203,0.5,-1.0,0.3082889074789049,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.005291996733285384,0.5213799204685444,0.5444674438095941,0.6595781479330352,0.5,-0.492453524525966,0.6216778798657219,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.059040995770060826,0.4920237493749825,0.0,1.2251103630329891,0.5,-1.0,-0.12669031472167633,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.008040198206762935,0.0,2.7474263535827976,0.49584284828630415,0.5,0.3968869616922812,2.7908851546669524,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.009315564701425095,0.21340197982007175,2.946846271021118,0.5532431468243888,0.5,0.006641746870580681,2.0739297125895577,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.013046828697261979,0.22694940756279156,5.0,0.20283415844108413,0.5,0.865945961594556,2.401318147783793,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.05350462108654659,0.8080359929478221,0.0,0.5674924232699871,0.5,-0.7423226526394137,0.6789192325210723,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04170132434497792,0.62392499361797,0.0,1.7222291125834346,0.5,-1.0,-0.1585383663232416,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.037394157734492436,0.43092079977650277,0.0,1.01364524163972,0.5,-0.7334773022202055,0.0022845307772784646,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.04970870497148942,0.5052034493061565,0.0,0.6405175447325085,0.5,-0.5364549631732042,0.6459608193890637,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.007877802661846333,0.46924443383210707,0.9709816227957211,0.34857357761766694,0.5,0.12251885703253237,1.45704198482507,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.0480274129518061,0.38923102602456006,0.0,0.7388760264713227,0.5,-0.4708237756614833,0.38908359290339584,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
