RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06834658073722867,0.6464229149707432,0.0,0.968012090172357,0.5,-1.0,0.5786035883558199,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.0687421448564308,0.634139136090805,0.0,0.6972116048487211,0.5,-0.9932359783035175,1.318248324472141,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.08261455165035665,0.6379295050661838,0.0,0.717598285705641,0.5,-1.0,1.7263775728703163,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.05918797722570847,0.975562131324299,0.0,0.21638803484312147,0.5,-0.9021823059089811,1.247284266822832,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.09167659239612307,0.0,0.17669131283780512,1.2414405257421663,0.5,0.6677036444624891,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.06446343711144006,0.5925417724812422,0.0,0.7624757036497724,0.5,-0.8012535182878839,2.4602628884779896,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06156382964292547,0.5239461195690125,0.0,1.2760792035843411,0.5,-1.0,1.0809659399306446,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.07190946572819137,0.6119387933404691,0.0,0.693156453081133,0.5,-1.0,3.925139965043416,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.02319569568266038,0.0,0.1958230093285328,0.49213439560031674,0.5,0.48235958689360237,4.824957507111596,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0633623244374532,1.0543389541247588,0.0,0.0778185928106574,0.5,-0.6808650505535064,3.5675105435163026,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.05571872748238217,1.8931745076478017,0.051018240593027564,0.02930714451525544,0.5,-0.9597483203919248,4.513529525071173,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.0554421398585717,0.6857886178219537,0.0,1.7664151643605164,0.5,-1.0,0.2770120595546586,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.058549739125883765,0.9315023139312435,0.0,0.39813067207293756,0.5,-1.0,2.645707454143141,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.07050140271476583,0.6102939916687449,0.0,0.7035996023573748,0.5,-0.7436718486204001,2.476004387273452,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.03351677681320793,0.5086282407333859,0.3159524045141478,0.04037948258008192,0.5,1.0579228591633763,4.646048395343959,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.07953797918807433,0.6001113941181275,0.0,0.7510770299584867,0.5,-0.8625457597622513,1.2235016383248316,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06388103132985272,0.5499128128298854,0.0,1.2898266372568903,0.5,-1.0,0.3007937837585855,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.020569305877283416,0.0,0.15515558449351324,1.0854065542226528,0.5,0.313859845521659,5.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.02136971164878094,0.6482691837371438,0.0,1.0926118405750929,0.5,-1.0,0.2872751699335201,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.08817219777830185,1.997163351158562,0.0,5.389616390049981e-07,0.5,-1.0,-0.9983216728170552,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
