RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.17023878555376068,0.0,0.5680902560399125,0.11462021513806261,0.5,2.6143087718436573,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.12428746896239373,0.7166515144272071,2.1633739667503655,0.6414318858803246,0.5,-1.0,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.07622672682478027,0.1996463147534928,0.711350937639706,0.5010937062435538,0.5,0.14648074449615472,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.06933056627210583,0.3862515940638007,0.8306552073680662,0.3766521868377324,0.5,0.16694425289578266,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.16709616609759198,0.0,1.828758000184577,0.6769076459975427,0.5,1.882333936011247,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.12421272999680058,0.7781537139260577,2.190212314543534,0.7588388535638431,0.5,-1.0,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.07293620048891848,0.33254259843420597,1.1060409532055233,0.9527965628758939,0.5,0.37462794437140096,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.09425242961807603,0.5471790849764472,1.358762808497068,0.6980469748355729,0.5,-0.7146731813405891,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
