RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06472788251430181,0.8562015317599662,0.0,0.5866579925819104,0.5,-0.9634929105858796,-0.305213039630419,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.04314895571673232,0.43225391398610064,0.0,0.5771754983281512,0.5,-0.5175775528332045,0.6296068469368734,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05020898381012414,0.4941573294186354,0.0,0.5226948150646376,0.5,-0.6066303979447346,0.37772610099666887,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04163345506690475,0.664645136484969,0.0,0.37434352298698587,0.5,-0.5542922505249767,0.41699258435081,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08002951025412444,0.6637501138253806,1.0719395944165264,1.4659405916817005,0.5,-1.0,-0.9541975767891796,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.005620128603894371,0.5658775995946715,0.5541727596062481,0.6686335412387762,0.5,-0.5603475115457477,0.5076330891720391,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05379234945653446,0.7768960975256386,0.0,0.9531242074545033,0.5,-1.0,-0.8940896451708653,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.006566489932538145,0.22266200352239798,5.0,0.754401059899965,0.5,-0.2612104506938619,1.2615929577121807,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.00756544751148539,0.0,4.117349545317541,0.6514676621483865,0.5,0.3220992109730943,1.8571546911606627,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0055131080087087525,0.7129176477100211,0.7477401110545898,0.5503768278835872,0.5,-0.6018661706553863,0.7519625405071412,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04582874946554996,0.5621842172316494,0.0,0.807586284953079,0.5,-0.41077998353038075,0.23630244826782656,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.03607318100472503,0.4438437998154072,0.0,1.4104125055271277,0.5,-0.1599943913967042,-0.6275775354444869,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03800582791560943,0.4629893939944803,0.0,0.9501901706679231,0.5,-0.6831944031589819,0.07054606226431447,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.048295445216696244,0.47159151109743147,0.0,0.6562229561906576,0.5,-0.4363098468084294,0.4710418266065716,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.009938558640351152,0.2589881402441226,1.767184496536586,0.2859406833418447,0.5,0.6526479358635198,3.153743971070653,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04717157880118743,0.38568005218699253,0.0,0.6815746738291751,0.5,-0.39981277410140165,0.3161062796794657,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.05229449753546038,0.4900533798180258,0.0,0.6755529858662339,0.5,0.3718527883371153,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.004110520674332311,0.5506029181893998,0.721285289350474,0.6071685000546184,0.5,-0.6177438512668311,0.6887718738688227,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.016334025822108415,0.29073679694054594,0.0,0.7981016600264074,0.5,0.33484916542174575,-0.9888964014059574,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07680447351412707,0.054263267030654164,0.0,4.02777037359127e-05,0.5,-1.0,-0.44036059134662314,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.04960653250568617,0.38421810059886374,0.0,0.5564723102793553,0.5,-0.4277938982030248,0.35074907714379133,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.028374184303063685,0.9466788994173884,2.111798311946387,0.9051100577246528,0.5,0.9397595715006427,-0.5317701055780166,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.012960749796820725,1.5810472481814382,5.0,1.179246693067014,0.5,-1.0,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.07463763904453725,0.5651939610505016,0.0,0.5770507112270737,0.5,-0.07159116240270186,-1.0,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.0386849235378424,0.3773373035274259,0.0,0.7627548926148592,0.5,-0.3922977617375105,-0.256739840912509,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.050330384764821226,0.41020921597655396,0.0,0.45459952961020433,0.5,-0.426143675100415,-0.2474164164304059,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.05114978623261095,0.33928496952082937,0.0,0.5526338014540505,0.5,-0.38999742738055465,0.385264191768168,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.002357457916188674,0.5429502592537396,0.7366478896317152,0.6019899509563458,0.5,-0.565359482829955,0.5739457460752607,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.006222767436157501,0.0,4.548442886996637,0.5526219061423184,0.5,0.24837179261868292,1.4797655009200104,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.10728555119448253,0.0,0.0,0.31325963184373823,0.5,1.2732756607935762,-1.0,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.003786253916985731,0.6505441059976507,0.9420403827020446,0.8151820829486495,0.5,-0.9205242280765275,1.2447977653552909,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.0067012613676531345,0.5141558223083359,0.6820811405397057,0.5838841411003624,0.5,-0.6854957547909776,0.6404312827478411,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
1122,Gene,0.04742207157352417,0.4046779843101433,0.0,0.6343362212705913,0.5,-0.4464234743062685,0.37456089637358214,20.0
1155,Global,0.0018409007538245233,0.04,1.01,4.196442997289433e-05,0.5,0.0,0.0,20.0
1155,Gene,0.0018409007538245216,0.2,1.01,4.684070835241864e-05,0.5,0.0,0.0,20.0
1169,Global,0.018242521486691546,0.056068439369375556,0.0,0.5500043331046072,0.5,0.0,0.0,20.000016052485886
1169,Gene,0.01129385332467869,0.08055994103628701,3.0935754556480766,0.590793239904839,0.5,-0.055564723278801985,1.73000382078061,20.0
1190,Global,0.03877502669309856,0.15378555627557916,0.0,0.9907190921967556,0.5,0.0,0.0,20.000437826019564
1190,Gene,0.04598649630856135,0.6257275327043705,0.0,0.37258065865508616,0.5,-0.4517542477343512,-0.06153381913120236,20.0
1261,Global,0.03257902540576882,0.12871132200883406,0.0,1.0185220040971248,0.5,0.0,0.0,20.000019484374462
1261,Gene,0.04270329252409401,0.4555904084048287,0.0,0.4114160057372324,0.5,-0.36017898940803833,0.2970756197173184,20.0
1280,Global,0.023007340389321587,0.15552518346241573,0.0,0.9277759687088628,0.5,0.0,0.0,20.000152770733102
1280,Gene,0.007702458218036271,0.5424690752874999,0.5251225541568132,0.655707689285513,0.5,-0.49869334586196834,0.44591225757877256,20.0
1378,Global,0.06518966219381932,0.21781250753227754,0.0,1.03594975946093,0.5,0.0,0.0,20.000189883586142
1378,Gene,0.07522351326527042,0.4805262472354426,0.0,0.47188794684162483,0.5,-0.26752159164267114,0.16306973873097808,20.0
1414,Global,0.07307739491580435,0.21794709732707124,0.0,1.03390615933222,0.5,0.0,0.0,20.000260624194677
1414,Gene,0.0838553136450978,0.5045656179499373,0.0,0.5559432679938702,0.5,-0.3316795277321133,0.2539037478432689,20.0
1418,Global,0.048433727501728065,0.0301072511845748,0.0,1.0708026694791084,0.5,0.0,0.0,20.000258036419176
1418,Gene,0.0480299562284408,0.43913634743347785,0.0,0.608926372011987,0.5,0.3464160192267787,-0.6080159554902116,20.0
1427,Global,0.00042635047895731156,0.07551627360063021,0.9983627567855874,1.0039725669680475,0.5,0.0,0.0,20.000000255343995
1427,Gene,0.011353370985993495,0.6519449219838995,1.7382615727250321,0.5960607896332228,0.5,-0.9892744913027981,1.3730557102254601,20.0
2002,Global,0.03430591736166236,0.0,0.0,0.7083522501472582,0.5,0.0,0.0,19.999996352882057
2002,Gene,0.0352171634136478,0.2723861744005363,0.0,0.7893547226837418,0.5,-0.7799681610751724,-0.5020579368805198,20.0
2018,Global,0.0248129682516721,0.0,0.0,0.6780049934828624,0.5,0.0,0.0,19.999999079817627
