RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.10378122307640655,0.584400173345634,1.7720201614070714,0.849023702155459,0.5,-0.3850955024574321,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.1142814541476003,0.7475262918068571,2.0435980894423036,0.6974422272082091,0.5,-1.0,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.08612612427705854,0.590058734230655,2.229919342553452,0.667197937652983,0.5,-0.6922031376749341,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.10643097791060956,1.0194868032655566,2.243950721262182,0.4172105198455712,0.5,-1.0,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.10981575251308394,0.7091785410584882,2.1492974795512443,1.3744668348182048,0.5,-0.7779205605736863,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.10539321612813511,0.8232195834279513,2.0552038919887723,0.7713577025867263,0.5,-1.0,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05827768951837621,0.9234283872102108,0.921878183657229,1.0330420521851982,0.5,-1.0,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.10992728976797092,0.6894044812857911,2.2387522822612818,0.7035972283241887,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.09651275248197082,0.5882906328920096,1.3447907918127437,0.6108802626188089,0.5,-0.6285324520949275,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.10162350900224211,0.9289598405050038,2.0514534255011534,0.6503738245637646,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.05629225842030584,1.0176442658429488,2.125608893819752,0.8632889279609326,0.5,-1.0,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04279692053126359,0.7283619751965439,0.24053695154210444,1.8239037279826613,0.5,-1.0,-1.0,20.0
