RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.2221074981308958,0.039454415446278944,0.5108268651834575,0.1520858117003392,0.5,2.041511434386136,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.0849716446044987,0.2673574455152249,0.6032308931793209,0.5173671566093622,0.5,-0.001404956591028593,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.1513033944609437,0.0,0.0,0.03610190085419262,0.5,1.5594226180060147,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.10096689129437023,0.3857836038091081,0.738593858553186,0.5745215770644527,0.5,-0.006234370593650212,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.28201215469820445,0.5483483132676304,0.10856360218063689,0.044556960574847954,0.5,4.851668944900104,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.0788193312766752,0.36746018673058617,0.617367453284541,0.5966168610672965,0.5,-0.09130397367691372,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.13285918671001226,0.0,0.054986607196009174,0.07010129792088758,0.5,4.768603662186437,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.12595989975373872,0.6139733184424813,2.071995362595936,0.8971509787541099,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.13525294267961938,0.7265292334467779,2.8355629509547984,0.5914519935766236,0.5,-1.0,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.13438160856110257,0.9273257210701815,3.7766699923969345,0.5899478606726088,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.14987040992918008,0.04503714024385429,0.0,0.15360579818078646,0.5,1.4992713906636497,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.08494406658274933,0.044440178774188294,0.0,0.2921198139590628,0.5,3.252322718686657,-1.0,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.13706474655462142,0.0,0.0,0.067831495494925,0.5,1.7794874231715294,-1.0,20.0
