RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.0995534904884854,0.0,0.3201179808747404,0.2470700135093541,0.5,1.5911482422856917,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.02940336849687571,0.7097077258957315,1.5910281548126044,0.6879804991887725,0.5,-1.0,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05691926765901341,0.0,0.0,0.15589846581652128,0.5,0.8937233234170605,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.05103861336208116,0.0,0.0,0.2725207413496255,0.5,0.8305590151117304,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.12659543239395418,0.3803302032199603,1.002791563567482,0.3090059500317445,0.5,2.275063121420636,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04152664225844067,0.007014618989826197,0.0,0.39618441327895637,0.5,0.5720615873574655,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05309588861154485,0.44998779357475865,0.4341135423037988,0.7908030415622472,0.5,0.27043097841753705,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.0225757752203009,0.6018532650153505,1.5937870964912817,0.8150271203433805,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.016932358337129465,0.2705046220217309,0.16392462785874523,0.5282534679840623,0.5,-0.14078325609999864,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.028364123511558332,1.0432766339972308,1.6221142805727582,0.3188650110025295,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.05245346338999733,0.3250038719355451,0.0,0.2225873089337652,0.5,0.8180409585715828,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.036086276118815416,0.4504469206149259,0.0,1.5045906698621891,0.5,-0.25117292570242244,-0.869812908181478,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
