RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.08713105253706693,0.0,0.13463582425503515,1.5345507324653407,0.5,0.13003989757848375,5.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.07883925505616007,0.4089068367865991,0.0,0.6244993246555695,0.5,-0.7491166954366321,2.085941737057537,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.09112130054448464,0.45246301379228077,0.0,0.6068364343873598,0.5,-0.9150207096799834,1.5811570936381085,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.06984992573976943,1.0185378560503322,0.0,0.18726789866330365,0.5,-1.0,1.4755785149042606,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.112462245026499,0.0,0.34370603340649747,0.20052766591513388,0.5,4.081011628897556,3.866521831148143,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.07948905061200132,0.6263380703662453,0.0,0.8102289187070606,0.5,-1.0,2.3770651032937824,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05762117725727222,0.5047719748761231,0.0,1.2567075111090016,0.5,-0.831365687586223,0.5577784375764611,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.027175507957185395,0.0,2.708865631906033,0.08440475679032863,0.5,1.1864496280159635,5.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
