RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06217675830766737,0.16529919299810897,0.0,0.2857968949018263,0.5,1.1801807183672808,-0.6968578701010647,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.06933739351045382,0.0,0.0,0.05422035920824285,0.5,1.3096141046273244,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.06808928487246753,0.0,0.0,0.033994437208976234,0.5,1.6991111452550027,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.050904252802747164,0.07667395280819346,0.13045671046753635,0.044799036848485026,0.5,1.6863866201127837,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08304237411125837,0.7328491663880355,0.3484206483262971,1.2288546449685,0.5,-1.0,-0.215850381593197,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.05837833450445005,0.01650459784597139,0.0,0.32893253744435563,0.5,0.7709890019838282,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.0524804671341872,0.6380559896026969,0.0,1.072307109550149,0.5,-1.0,-0.23409978859206818,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.080521550306846,0.0,0.0,0.011582588439810962,0.5,1.7860380091704822,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.0008808616901234892,0.19694653140930574,0.9940031738167843,0.4990091703644217,0.5,0.02796045617259324,-0.048656323414775215,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.05294427894418639,0.15041981520405034,0.0,0.13162582881027005,0.5,0.912823078793773,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04324470037536344,0.3779099008219211,0.0,0.4157134027377835,0.5,0.425980779685084,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04675000099425095,0.6719782186408062,0.0,1.6597997075022322,0.5,-1.0,-0.0057546654440755384,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.002697160989675079,0.23980693554658516,0.9767301129523148,0.5266569986965871,0.5,0.027903968025100312,-0.022106283470435528,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.07117498350929409,0.0,0.0,0.06594904288060448,0.5,1.3721491352964588,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
