RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06481163616885323,0.3587770969321282,0.3898037818021198,0.5717880054214955,0.5,0.27803624631753227,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.041357671311475,0.05306613731553195,0.0,0.44499132339734804,0.5,0.4755181956526327,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05156376351741149,0.0,0.0,0.2301830741271794,0.5,0.8446137903787668,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.042112608712709325,0.18743097064742872,0.0,0.17591940891110688,0.5,0.7900147303564142,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.0897778599692184,0.6855749315609949,1.2467918317133084,1.3938101538485523,0.5,-0.8115541908707993,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.040718987215551665,0.0,0.0,0.4540926419989162,0.5,0.6146237953331221,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.050152835526560746,0.29845698808867194,0.0,0.9677541189248767,0.5,0.017602748147258936,-0.729530661869878,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.04292504266884226,0.0,0.0,0.16308561817940914,0.5,0.7663524010142354,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.03927092719431255,0.0,0.0,0.2229799119053006,0.5,0.6286611868117704,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
