RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.0886895846945422,0.6853177888279574,0.05657669139021224,0.9059109284386566,0.5,-1.0,0.8543977729067034,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.013860635910915261,0.5328149083767585,0.14451912978797254,0.5958337719989859,0.5,-1.0,0.6400609756810227,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05636089594049532,0.46065708228690194,0.0,0.6621981401362913,0.5,-0.7017628998505705,0.8650051805827591,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04791958089382524,0.7498470984413023,0.0,0.27212499610705876,0.5,-0.6113529728770553,0.9243298443304231,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.13300659052344668,1.2280391491234854,0.25579777849570934,0.846151097927731,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.011830325576544846,0.9243464447600305,2.5235841572429205,0.046496091813094956,0.5,-0.15802957902662462,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.07215203117936088,0.6743544470656706,0.0,1.047380572646324,0.5,-1.0,0.9246694634137963,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.008770865887047948,0.6083719707717143,1.1963897563014534,0.6464474438325934,0.5,-0.9326741183890135,1.5078884496304759,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.0074337548789292045,0.6099806255016224,0.9076044552701433,0.625946966616381,0.5,-0.8839941662473147,1.0307976985731804,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.02661056290272527,0.9124810923291724,3.334802501099867,0.5192690925919279,0.5,-1.0,2.5752726260171594,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06429671434983862,0.9233853538231035,3.5009934006755046,1.0204479446111454,0.5,-0.9864248576338789,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.11193955796931407,1.931046048154535,5.0,0.8428705437564308,0.5,-1.0,5.0,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.04418034212089729,0.501846398872526,0.0,0.8108364465535899,0.5,-0.6870479517824666,0.6161871487661349,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.017484877224227084,0.6046577729839426,0.49028731036944884,0.5121310556632616,0.5,-0.4838846596672603,0.463752024672531,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.00898685037535646,0.6803950344493811,0.8272017820473455,0.37472230884792807,0.5,-0.36450125716273823,0.6845772008451348,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.05558768226514118,0.3859933970803263,0.0,0.7748735336292802,0.5,-0.48637722148743123,0.5463106869900622,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.07151078590426588,0.5285987185107875,0.0,1.2286767769643023,0.5,-1.0,0.557967204599503,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.006331158414100693,0.5809319197670519,0.7638533638085829,0.6223334025340429,0.5,-0.7350766051295698,0.7742633507062924,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.026025303117525163,0.6506277945337926,0.0,1.0660367431413063,0.5,-1.0,0.8725064310491496,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07633114977752253,1.9634720817424516,9.150041082276894e-08,4.443440171120286e-08,0.5,-0.9997215956470179,-0.949768914020532,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.05784366230509867,0.41946501699124483,0.0,0.5674147175565291,0.5,-0.5285164294167317,0.6507537726054394,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.08043217723728861,0.6315564442020679,0.3592664728847117,3.0,0.5,-0.991129133172538,5.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.04544706843082575,1.245511251297575,1.733319612049836,1.6469042325887397,0.5,-0.9754783082884654,2.7174562580068735,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.11038189313897143,0.54985632856608,0.0,1.3833158887763788,0.5,-1.0,0.7738599093253546,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.02079343901109611,0.5937466463681002,0.5692031866642975,0.6618020353360994,0.5,-0.6742911055308441,0.5047695966098951,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.05019176827445493,0.34411700145731944,0.0,0.5521292186311209,0.5,-0.38811638810814775,0.4555264799402025,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.04892181685978459,0.3145749984742032,0.0,0.5437453841549356,0.5,-0.35637398936053305,0.4333103338971538,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.008163609074455336,0.646399700678841,0.8106490223717291,0.6199340563574767,0.5,-0.8355809569522412,0.8916020677444696,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.01207215681658343,0.5290467357694802,5.0,0.7421844183249565,0.5,-0.9681676572402601,0.2949309825918666,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
