RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07009214827915818,0.2871009695471794,0.0,0.13905506294559042,0.5,1.4750099553503535,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.02899547645276676,0.702514706183251,1.6912320143002828,0.7688229116082608,0.5,-1.0,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.049589959700796986,0.0,0.0,0.18043157272318439,0.5,0.8329553344557129,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04793043532443791,0.11917547105616877,0.0,0.15626580507536336,0.5,0.9014335566757771,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.09427299068747416,0.36199672511127456,1.053376631589332,0.8892364059830085,0.5,0.5214634308645805,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.02133481023949483,0.6937311494788261,1.8131402525402704,0.8382166514449855,0.5,-0.8277205692302085,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05006596525880821,0.3262586729581392,0.0,1.0016058047473018,0.5,-0.12235942478920345,-0.5580035516512561,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.026919208774925336,0.6621042173459639,1.8734571075468902,0.6585893941099068,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.030326511924991698,0.6953518188109907,1.7577003220591916,0.708723598822749,0.5,-1.0,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.016069683436347636,0.7992806732151606,1.0008898688662253,0.49174037717890673,0.5,-0.6631980779572139,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04077216033016399,1.0553229866638618,0.0,0.10539470071926112,0.5,-0.01729870199943854,-0.9437818098160999,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04883742317698764,0.7000179036251651,0.0,1.7693397246526035,0.5,-1.0,-0.03251295145290693,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03599320328665614,0.1212512057212372,0.0,0.21286745187330186,0.5,0.9112020104238007,-0.7349098122422318,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.04173784379755701,0.8475400722548763,1.5078213218660357,0.7321154070307022,0.5,-1.0,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.013849836841889484,0.42965040097693785,0.8221092085369976,0.36962170393642296,0.5,0.1154614437708332,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04993549172749633,0.03506932449647764,0.0,0.22869528936495956,0.5,0.6687417326354795,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.054515398767722496,0.0,0.0,0.7250151478365725,0.5,1.1336624134750344,-0.9214402999009,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.013676380792188145,0.4893568468503678,0.5673270784994414,0.594064977274474,0.5,-0.3832620379177054,-0.9349888514821618,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.017202046537329783,0.09750439180046458,0.0,0.8556207800686745,0.5,0.8814568894947877,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.0799415159836298,8.176613177235021e-05,0.00042674470682840186,0.00020723563490956582,0.5,2.421379387024762,-0.9995752801030101,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.055104011348501736,0.0,0.0,0.30796278601501115,0.5,0.6013108077150218,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.06985511003450967,1.3409555182011068,0.47128134409847017,1.6219432985388613,0.5,-1.0,5.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.05302132916874045,0.6474368670794772,0.8767817461194627,3.0,0.5,-1.0,5.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.0809130590432632,0.132291923915628,0.0,0.5298714137957318,0.5,0.8081049461687467,-0.6066360851136131,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.030924056583373563,0.052840185355256204,0.0,0.6234141312853192,0.5,0.3097271854016973,-1.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.060845860452258885,0.0,0.0,0.28904575003661354,0.5,0.6167902809872816,-1.0,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.05844376019775054,0.0,0.0,0.13612746475443085,0.5,0.6931856087468357,-1.0,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.01825505824453872,0.4160751308346152,0.6805738161809127,0.5513410754917968,0.5,-0.2843122193433324,-1.0,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.02245257424522527,0.5746182154994227,1.348455498841982,0.6692297929100003,0.5,-0.818409636401783,-1.0,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.10407472000534596,0.0,0.0,0.3328724626989187,0.5,1.0635966784821316,-0.6847990590742472,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.0181089416023174,0.6900989028388286,1.0167640101415614,0.6357122765604551,0.5,-0.8494120170124609,-1.0,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.025406256908281112,0.32583994777695247,0.6700239285830194,0.5337678695671124,0.5,-0.26985937867563875,-1.0,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
1122,Gene,0.0527607703015804,0.0,0.0,0.18998717732953263,0.5,0.7711813109584885,-1.0,20.0
1155,Global,0.0018409007538245233,0.04,1.01,4.196442997289433e-05,0.5,0.0,0.0,20.0
1155,Gene,0.0018409007538245216,0.2,1.01,4.684070835241864e-05,0.5,0.0,0.0,20.0
1169,Global,0.018242521486691546,0.056068439369375556,0.0,0.5500043331046072,0.5,0.0,0.0,20.000016052485886
1169,Gene,0.03097653902940019,0.4834397272981539,1.7046536837455855,0.5867795112536481,0.5,-0.6894768488053654,-1.0,20.0
1190,Global,0.03877502669309856,0.15378555627557916,0.0,0.9907190921967556,0.5,0.0,0.0,20.000437826019564
1190,Gene,0.051199324338100476,0.14478436631030212,0.0,0.19720984046923232,0.5,0.7647431946197281,-1.0,20.0
1261,Global,0.03257902540576882,0.12871132200883406,0.0,1.0185220040971248,0.5,0.0,0.0,20.000019484374462
1261,Gene,0.04623458560953278,0.04779686247237513,0.0,0.4486989797905613,0.5,0.43681559327424513,-1.0,20.0
1280,Global,0.023007340389321587,0.15552518346241573,0.0,0.9277759687088628,0.5,0.0,0.0,20.000152770733102
1280,Gene,0.01931286535756928,0.23613843162347506,0.4737726280773721,0.5385780218246401,0.5,0.147557557425254,-1.0,20.0
1378,Global,0.06518966219381932,0.21781250753227754,0.0,1.03594975946093,0.5,0.0,0.0,20.000189883586142
