RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06813163702061291,0.8411582718050452,0.0,0.6246014616537934,0.5,-1.0,0.09781579219350385,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.0774454997624306,0.6506403471739438,0.0,0.636487754252966,0.5,-1.0,1.0707867599042455,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.0803570218526708,0.6168127600699512,0.0,0.7263777028613798,0.5,-1.0,1.0726412213350804,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.06281990134616768,0.8657259353034232,0.0,0.3848342062875307,0.5,-1.0,0.9191068639447175,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08979585868977247,0.0,0.5506749781073473,0.25421238265176643,0.5,3.519333947408637,-0.6806616447486515,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.07436299565966249,0.6794384944837155,0.0,0.7369810751879033,0.5,-1.0,1.2871709989400841,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05777058839940007,0.6174314335142466,0.0,1.1081953418260193,0.5,-1.0,-0.24962502626026822,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.0741886384881506,0.6362679213639314,0.0,0.6013287720972542,0.5,-1.0,4.484712942298752,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.02721290411781017,0.6677155322447116,0.2174626103658371,0.5926652509469881,0.5,-1.0,5.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.02869467121672404,0.8834466595602581,0.39675918398752286,0.5595345303868491,0.5,-1.0,1.6165328356300837,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.03687224504461141,0.7265700439686349,0.33084627780692455,1.7365890332416456,0.5,-1.0,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.0485119466661547,0.5611004153248537,0.0,1.902679869987249,0.5,-1.0,0.0805404548958041,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
