RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.09492035919217923,0.8622967851824417,0.0,0.6035211528328407,0.5,-1.0,0.4981110503714027,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.05060838871960942,0.4966414643961874,0.0,0.6323624318300254,0.5,-0.7320587898721238,1.0905658902962283,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05616745344784868,0.5182230879144446,0.0,0.6791400465208802,0.5,-0.8427898958023852,0.9901299628491168,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.05762414246800058,0.7882455128753642,0.0,0.38293486634837187,0.5,-0.8811695139199726,1.0033222989312363,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.11304182225803384,0.6921533981939572,0.1407488618560028,1.3136577938398908,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04928206887778535,0.5082542928969558,0.0,0.7114878016767481,0.5,-0.646868762890352,1.132408966020781,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06483366946524333,0.5197679013703783,0.0,1.2766220077203452,0.5,-1.0,0.25061631533122974,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.00933623431027296,0.6315174546556531,1.1058493460392516,0.5839416277135726,0.5,-0.8820056312023509,2.3993893433552476,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.008543394153840872,0.6309351287188704,0.6115788662457158,0.6353180009944187,0.5,-0.9215420654803712,1.794212337145145,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.012204731879116928,0.8519339455728614,0.6672585073063384,0.6572663048269302,0.5,-1.0,1.78963042393733,20.0
