RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.11133401986660757,0.25374824463318224,0.9044942472559125,0.5485388529193159,0.5,0.46590559561609074,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.04178158156674249,0.0,0.0,0.3974535407288244,0.5,0.4350890584562792,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.050449356568592556,0.0,0.0,0.23610225477132862,0.5,0.6374935985699339,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.055331711616522936,0.8792203603162149,1.469358339020539,0.7541728719272146,0.5,-1.0,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.16752219896127019,0.0944969599818793,1.4054506907565723,0.30992947471024046,0.5,2.3785135383484945,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04737493358952078,0.8652487018274648,1.2821280266902386,0.6530913479326529,0.5,-1.0,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.051108659845184944,0.47188248213896555,0.2095783426580379,0.7349189381812125,0.5,0.23081119703145334,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.047626251223599356,0.13231172654194281,1.2318879743770452,0.4843882602106705,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.049865231543577346,0.740877392410945,1.0603290957325955,0.6811232997376395,0.5,-0.9700615281264693,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.03668086908755864,0.8085439554127472,0.8829175907382206,0.8879015574832754,0.5,-0.8555494247434439,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.03479039002322553,0.8689407520515764,0.26430958052276,0.6502017709250524,0.5,-0.6280605808041514,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.047726354161116535,0.6386361400422814,0.0,1.9407653613142812,0.5,-1.0,-0.42265741230816245,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03410270424349943,0.46828140885302416,0.34600094741465165,0.572908650528244,0.5,-0.1661045135735213,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.029136104941468455,0.4460022743389049,0.7317370969117973,0.584772579734892,0.5,-0.15947586705557146,-0.8773558979133292,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.036201387078744776,0.8274651177478595,1.119089162915343,0.598835553728523,0.5,-0.6913598851664376,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.03892296629719795,0.40961698437535526,0.28367074623469263,0.5793194207463662,0.5,-0.2575538070865338,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
