RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.061953593356375916,0.7235098598358712,0.0,0.6585079711882812,0.5,-0.8914885659759558,-0.15665188634778082,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.031335381631068616,0.15928205936558115,0.0,0.3240034922301741,0.5,0.28116226138422734,-0.6923497652157674,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.03717251109610186,0.08511766248223247,0.0,0.515064424442133,0.5,0.23760268849385174,-0.4930777490415595,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.031059295443049275,0.478516983232499,0.0,0.1939242633907796,0.5,0.18053883603796084,-0.2841708881943235,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.11077135029505987,0.8039691237195679,0.20856720230518336,1.2231173251845422,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.030213139270773178,0.20081425245671214,0.0,0.45637547367068027,0.5,0.2183816815241159,-0.5075230762229763,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05363022413972219,0.5909027325510271,0.0,1.1024476340914375,0.5,-0.7743298924402161,-0.5687962595375659,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.031796558518163,0.0,0.0,0.46089341881678264,0.5,0.3713821792076516,-0.2594289732146758,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.028969930948864436,0.3097052383233479,0.0,0.09404235243076609,0.5,0.3171624374013909,-0.042966713825715944,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0030829258440371737,0.19818942161239395,0.3702171599794643,0.3842447874956895,0.5,0.5544043048852599,-0.09351999117500623,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.040482496489525614,0.40425351656088276,0.0,0.5300364287206878,0.5,0.21440335320061404,0.12440153291298504,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.036097636152630994,0.4521625783724845,0.0,1.2993296072348872,0.5,-0.0313318353503374,-0.19002373629142366,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03086581229310902,0.07290893450571408,0.0,0.746475138560736,0.5,0.3082309949672963,-0.9781285373522897,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.03773072815511339,0.20502171303819638,0.0,0.47931816594602195,0.5,0.2518197480609723,-0.8255959914956671,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.00855406134895461,0.04224007069076669,0.6787700494247578,0.5362385082640655,0.5,0.7857596271351703,-0.10182479142995378,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.0405846665895263,0.12210772773178605,0.0,0.48326571176241145,0.5,0.2871778814830086,-0.5830990170198145,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06257203522557092,0.5292067486918061,0.0,1.2276855344290503,0.5,-1.0,-0.14991928993367915,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.02350847902572658,0.23386747260131255,0.0,0.2555852177490845,0.5,0.17773453378028853,0.6290088577204429,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.02372362252926523,0.6541129797218003,0.0,1.0299778975164433,0.5,-1.0,0.5390656794637464,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07072501927595885,0.0003043590013124401,0.001588476670845561,0.0007713955584083758,0.5,0.8555871409435123,-0.9733570977187193,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.03915702676564771,0.14864775828801144,0.0,0.4820028706265346,0.5,0.10684572111348298,-0.2814636444430081,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.041978986314752005,1.6440803511858315,2.8625927619605744,1.0561059639179327,0.5,-0.7330152571919178,-1.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.023699221684514812,0.8390633989892513,4.700106540662087,2.427609770391356,0.5,-1.0,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.07906772481791807,0.6006743753744314,0.0,0.9036799165085077,0.5,-0.6492054229002252,-0.38233142436084194,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.03702641115926897,0.06174652008446688,0.0,0.4793476980025937,0.5,0.45792331629977817,-1.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.041814669366545716,0.1244449847045715,0.0,0.3903373206990651,0.5,0.21498498693435059,-0.46771524808996107,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.0420044462137102,0.03167001442676142,0.0,0.44939773829391916,0.5,0.2984293494676486,-0.41153462683638103,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,6.844965201799932e-05,0.2591245520342751,1.005876297936714,0.514623432917011,0.5,0.03463127700235597,-0.001156679888935454,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.02614706423766571,0.22866771322130217,0.0,0.12777908668485718,0.5,0.28157708351041616,-0.17772339995898695,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.10591865552893559,0.23330857560012982,0.0,0.7761572418801311,0.5,-1.0,-0.3484244853953541,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.026262374635201126,0.17768991668884962,0.0,0.4947476705670516,0.5,0.08941638939302193,0.17116773597231516,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.03427828476640944,0.1835176454444249,0.0,0.19536070012051213,0.5,0.22877333916003562,-0.5030983884133984,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
1122,Gene,0.03889786561848429,0.09927836615776472,0.0,0.4828237403219948,0.5,0.3008866613558272,-0.9380195266772576,20.0
1155,Global,0.0018409007538245233,0.04,1.01,4.196442997289433e-05,0.5,0.0,0.0,20.0
1155,Gene,0.0018409007538245216,0.2,1.01,4.684070835241864e-05,0.5,0.0,0.0,20.0
1169,Global,0.018242521486691546,0.056068439369375556,0.0,0.5500043331046072,0.5,0.0,0.0,20.000016052485886
1169,Gene,0.013996442866830256,0.0,0.2790916977488538,0.008501030371091085,0.5,1.5301807090194337,2.0655027710276266,20.0
1190,Global,0.03877502669309856,0.15378555627557916,0.0,0.9907190921967556,0.5,0.0,0.0,20.000437826019564
1190,Gene,0.04010714471929971,0.2326347291721536,0.0,0.46384151423407627,0.5,0.2531400461521189,-1.0,20.0
1261,Global,0.03257902540576882,0.12871132200883406,0.0,1.0185220040971248,0.5,0.0,0.0,20.000019484374462
1261,Gene,0.03479810202201489,0.15709536702986224,0.0,0.4600590974743339,0.5,0.2220788319783251,-0.7295344605994676,20.0
1280,Global,0.023007340389321587,0.15552518346241573,0.0,0.9277759687088628,0.5,0.0,0.0,20.000152770733102
1280,Gene,0.027527939164379657,0.14217041951871867,0.0,0.40524861029708814,0.5,0.3818036661562075,-0.15243365723474916,20.0
1378,Global,0.06518966219381932,0.21781250753227754,0.0,1.03594975946093,0.5,0.0,0.0,20.000189883586142
1378,Gene,0.06534432873529397,0.3194252685222902,0.0,0.4678513702462101,0.5,0.06725552777431529,-0.23774634313738852,20.0
1414,Global,0.07307739491580435,0.21794709732707124,0.0,1.03390615933222,0.5,0.0,0.0,20.000260624194677
1414,Gene,0.023065341254650394,0.4438750770496674,0.367561124790168,0.5557363994974355,0.5,0.029866329399161524,-0.2219289220885053,20.0
1418,Global,0.048433727501728065,0.0301072511845748,0.0,1.0708026694791084,0.5,0.0,0.0,20.000258036419176
1418,Gene,0.05251196156694378,0.5707599836831929,0.0,0.9834695722174207,0.5,-1.0,-0.3690518487456663,20.0
1427,Global,0.00042635047895731156,0.07551627360063021,0.9983627567855874,1.0039725669680475,0.5,0.0,0.0,20.000000255343995
1427,Gene,0.02313842635232503,0.07872543083569641,0.0,0.1150778304634374,0.5,0.5019907374027441,-0.3224944765060624,20.0
2002,Global,0.03430591736166236,0.0,0.0,0.7083522501472582,0.5,0.0,0.0,19.999996352882057
2002,Gene,0.03429294754470294,0.21085808764927627,0.0,0.5690086620300938,0.5,0.030096161594495387,-0.31067763017246813,20.0
2018,Global,0.0248129682516721,0.0,0.0,0.6780049934828624,0.5,0.0,0.0,19.999999079817627
2018,Gene,0.02992018910793712,0.16924745703574492,0.0,0.20867088312993803,0.5,2.0827307167621423,-1.0,20.0
2068,Global,0.11309836012022967,0.29247954634611983,0.1668731007394033,1.1215691432585708,0.5,0.0,0.0,19.99974245035178
2068,Gene,0.11747877545724579,0.5829863467633983,0.5881508404254567,0.7581348127850004,0.5,0.4509652907101969,-0.9533063968768758,20.0
2119,Global,0.03628444170066751,0.19620259770652507,0.0,1.0131187465498401,0.5,0.0,0.0,20.001093593729006
2119,Gene,0.04112610824995465,0.22508301922950477,0.0,0.416490250937119,0.5,0.3238011580140687,-1.0,20.0
2121,Global,0.07353891261766594,0.04,1.01,1.0045984327736417,0.5,0.0,0.0,20.0
2121,Gene,0.07353891261766594,0.2,1.01,1.1723960364844208,0.5,0.0,0.0,20.0
2123,Global,0.01716942082992196,0.04,1.01,0.9936205640927759,0.5,0.0,0.0,20.0
2123,Gene,0.017169420829921952,0.2,1.01,0.5069574123889986,0.5,0.0,0.0,20.0
2130,Global,0.011503009413252078,0.04,1.01,1.0082152507518651,0.5,0.0,0.0,20.0
2130,Gene,0.011503009413252071,0.2,1.01,1.3079920581250588,0.5,0.0,0.0,20.0
2133,Global,7.381304320160498e-05,0.1336983527844077,0.8218753539192846,1.0160093996077209,0.5,0.0,0.0,20.000023746843887
2133,Gene,0.027664577628767922,0.2442534611644891,0.0,0.1611202236433504,0.5,0.2951680225476004,-0.35299495203916853,20.0
2155,Global,0.028245148736347345,0.12509558091967274,0.0,1.0073609693397159,0.5,0.0,0.0,20.000100160249584
2155,Gene,0.030633609282756248,0.2078073691984365,0.0,0.38895232537015967,0.5,0.3318352091064672,-1.0,20.0
2180,Global,0.033818653673944626,0.09999646409994878,0.0,0.9935715427357706,0.5,0.0,0.0,20.00019108348299
2180,Gene,0.03568113400868433,0.27765140193466414,0.0,0.34346171465459197,0.5,0.3759141419192189,-1.0,20.0
2183,Global,0.02673934769403698,0.04,1.01,1.001000644018176,0.5,0.0,0.0,20.0
2183,Gene,0.026739347694036974,0.2,1.01,1.0375082010101837,0.5,0.0,0.0,20.0
2187,Global,0.04236393807425195,0.04,1.01,1.0057095550856696,0.5,0.0,0.0,20.0
2187,Gene,0.042363938074251956,0.2,1.01,1.214052196720959,0.5,0.0,0.0,20.0
2200,Global,0.06912221480145841,0.04,1.01,1.0022658042246917,0.5,0.0,0.0,20.0
2200,Gene,0.06912221480145841,0.2,1.01,1.0849487920787473,0.5,0.0,0.0,20.0
2219,Global,0.016076034619738805,0.04,1.01,3.0,0.5,0.0,0.0,20.0
2219,Gene,0.016076034619738805,0.2,1.01,3.0,0.5,0.0,0.0,20.0
2220,Global,0.02091891955913695,0.40266508083973956,0.5165325019183457,1.080454962758257,0.5,0.0,0.0,20.000148718994744
