RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.05719947861158333,0.6484278043194531,0.0,0.5398653133258104,0.5,-0.48880785509841623,-0.023317263508549145,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03951727335249268,0.0,0.0,0.407454364481014,0.5,0.5535924771718582,-0.43216443122615206,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.042839664809800705,0.0,0.0,0.3942498931811769,0.5,0.5822362533513258,-0.2615732261076871,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.0389520703811835,0.12126592742431758,0.0,0.32385170599908303,0.5,0.676500591486579,-0.23836252142589903,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.11657516156991751,0.6421382523682186,0.3934872695567267,1.5537993634487288,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.0403705654378035,0.22181187898283986,0.0,0.17016700914375943,0.5,0.6121897202801723,1.0695048626673307,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.051478344369000326,0.2978004903660804,0.0,1.459722935792995,0.5,-1.0,-0.6985787605119615,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.030307328347438343,0.0,0.0,0.4380683872508324,0.5,0.08239080477042661,-0.8095380168518895,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.03905064969125817,0.0,0.0,0.40622283702847456,0.5,0.500162062750027,-0.7812535290959153,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.00041949027236913604,0.37154315722607734,0.9874920736861297,0.5619146103678477,0.5,0.07157319350007593,-0.004221558963128203,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.040743994861607374,0.4826604376256837,0.0,0.4468712192159087,0.5,0.17475156817144677,0.40723996208997615,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04289628636922159,0.5617091994842169,0.0,1.7844647473020316,0.5,-1.0,0.1587056823490662,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.0025643762076800495,0.23980693554658516,0.9767301129523148,0.5266569986965871,0.5,0.00718054504744714,-0.012267131754839511,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
