RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07312539154269988,0.860416837259013,0.0,0.6241181936877256,0.5,-1.0,0.943993624537144,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03921798981344058,0.4581675284171747,0.0,0.5745617035493755,0.5,-0.5652683285821762,0.20980669737333538,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.045563563849889986,0.44167238304682566,0.0,0.641097630756292,0.5,-0.6161688599977675,0.1980560022751648,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03934522892921549,0.6604475489298309,0.0,0.3958220194573042,0.5,-0.5648142679037819,0.1703340603308668,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08664844727163322,0.6495519804629896,0.1872300096448447,1.3191064961872683,0.5,-1.0,0.6650403861463561,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.035257557616023984,0.4398650071938078,0.0,0.642284576008633,0.5,-0.4198341543822924,0.12059886888637335,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05678150728765755,0.5213922135200662,0.0,1.2444597314929975,0.5,-1.0,-0.35355887965854,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.0038526479895476806,0.16208868252540978,4.259850506805266,0.7358672402775229,0.5,-0.13652688963372567,1.3555681739546301,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.0028290205811764575,0.6258802360782707,1.2476766768216985,0.6432315975055101,0.5,-0.9292703340859766,0.7547330174348276,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.004045014509366469,0.6906765067573745,0.785921853274754,0.6018370271183415,0.5,-0.615771584862806,0.39668603035521255,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.010992444511265086,0.8863551266983535,0.5230196874831412,0.954998796821511,0.5,-0.9743782267193906,0.5991876170525835,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.048649010499918884,0.6631580256192573,0.0,1.7352121488996852,0.5,-1.0,-0.10163264055038203,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03655722617335605,0.4563261288772869,0.0,1.0490874809662742,0.5,-0.7242915189066693,0.13411055979132896,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.012910108807190502,0.5683661429888519,0.5357430262818142,0.5564502147260114,0.5,-0.43690447069881383,0.11601667359522248,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.007103895116713225,0.3417575473648778,0.39248167761872954,0.2961132784637176,0.5,0.4332437633554127,1.6757591383600232,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04633436741070798,0.42839771515454256,0.0,0.6591191052909319,0.5,-0.4689209346836459,0.1996845470350235,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.0583556141770082,0.5567494766417533,0.0,1.255756977733536,0.5,-1.0,-0.3740317320764161,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.001971129756979301,0.5066181150963481,0.7995553352427807,0.5982039400247225,0.5,-0.5459083027880062,0.2826453242398795,20.0
