RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.7158301350254922,0.021190776296379155,0.10253925896801522,0.004702546382855976,0.5,5.0,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.2569639626859452,0.11547633155036251,0.9687367736809129,0.4624698594828938,0.5,0.546104669643153,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.4106313476149629,0.0,1.9143657187499572,0.00250403946223021,0.5,3.260335550690501,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.5030880150403358,0.44192368207530336,1.3916157577460557,0.0003656306634620935,0.5,3.486983108583198,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.3543344461739958,1.5417821734891977,1.05304906149232,0.025220871014670423,0.5,4.841097648894829,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.3184596813524444,0.0,0.9588706392164531,0.16071347135539893,0.5,1.2473062484817077,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.25294743727761493,1.77680881801033,0.7632441883493009,0.01559800378781496,0.5,4.912975849043962,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.303648878104714,0.0,1.4513081884607142,0.07211375376251596,0.5,1.364331431258288,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.2502137529721257,0.09014113259094376,1.0079886725704512,0.4626623576999947,0.5,0.46553939042395226,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.2707147540250055,0.0,1.3743878030212113,0.15330923437932037,0.5,1.345168339315231,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.2429605718893791,0.0,1.849411503075531,0.07986498872438297,0.5,2.4768392067143594,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.03824828489088543,0.940295776479424,4.094874928770592,0.21090678096367735,0.5,3.1909977483365304,-1.0,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.6076813876269742,0.12246296212453778,0.03549777621884074,0.01999128592554836,0.5,2.635428977916333,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.3748002659956723,0.0,0.9468252005396541,0.13333730105180397,0.5,1.3540761709790117,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.4162995811265782,0.0,2.905965942807041,0.00018238732674868125,0.5,4.674600274791177,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.9104153153688695,4.583797255869823e-28,0.5453663952270678,9.049914118742935e-07,0.5,5.0,-0.9999999999999354,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.25338762333311127,1.8392999707964055,0.901078135488192,0.017238261772857963,0.5,4.921444738982125,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.34612978680863477,0.0,0.9000187554235893,0.04096696393966001,0.5,1.3119877818815675,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.20361313536110398,0.7928528112646689,0.463257040476249,0.04332248033447678,0.5,5.0,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.26253614473904757,0.0037893645959090044,4.999973010273363,2.853954411553744e-08,0.5,4.99983791550517,-1.0,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.24883713673503005,0.09675508799562871,0.8581510465189706,0.4611248355072369,0.5,0.5526368107613004,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.07057133876440164,1.3179607282855648,3.973341546488449,0.3462390447911351,0.5,2.0242554667792727,-1.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.08191863048891386,0.021162705195128726,1.7342699905215544,0.18665173505793572,0.5,5.0,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.41298610227379073,0.0,0.6848798377187262,0.06906429320487321,0.5,3.542779747484738,-1.0,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.480706217337978,0.0,0.42947786102526775,0.04719011225353639,0.5,1.6850718113644698,-1.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.30541971420970737,0.0,0.884605976081535,0.36088592935360303,0.5,0.8342710410992299,-1.0,20.0
