RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06243204629529376,0.3572430808632857,0.2423617765490984,0.6141018331539917,0.5,0.17046232663661692,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.05392144093580659,0.00430351475532269,0.0,0.04844814558936447,0.5,1.2360837164697727,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.060015014349547195,0.0,0.0,0.057583413107208284,0.5,1.416651757928974,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.028908118507567502,0.3396998721564823,0.18200022912708066,0.5483113424715941,0.5,0.15523831847265926,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08745046446390586,0.701518528551135,0.9006063710767997,1.3573987021430904,0.5,-1.0,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04820691280544428,0.08204605139559602,0.0,0.4759850445649095,0.5,0.4929428722842542,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06761140522978,0.0,0.0,0.16930737788987357,0.5,3.613058780867348,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.024732542130333646,0.6424743957850347,2.3514954886207895,0.7101995042214718,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.014271168631447844,0.1447138071531325,0.7632792777766927,0.48183932453322853,0.5,0.11198638444725516,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.011472859771481776,0.504821434545316,0.6648530504144644,0.26427376830313676,0.5,0.06120115471596379,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06536524430719719,0.03807900102088111,0.0,0.2801322568459942,0.5,1.2802820701248447,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.037808942812383686,0.18714722394571165,0.0,1.2722808118782278,0.5,0.7357054285033667,-0.6259814333309875,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.05226073134738037,0.0009184129221073808,0.0,0.08866922133854839,0.5,1.6819721084246377,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.03305164465990523,0.3247911926994182,0.49222451918965776,0.5341550955284291,0.5,0.06005665668214118,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.02726378507920834,1.7557241167392288,4.600423944166775,0.016007324034102415,0.5,-0.8438987214831319,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.06935905822868067,0.0,0.0,0.09990429834503367,0.5,1.0827789985650673,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.0700031771238825,0.08369106606928226,0.0,0.21732662662474805,0.5,3.1877872729276455,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.02201120197190158,0.7762951432914448,3.1236309390262122,0.6131426809962272,0.5,-1.0,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.021598050566571526,0.0,0.0,0.633720086235279,0.5,1.723747874456579,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07740522719693757,0.00024048219535632002,0.0012550979449597291,0.0006095002828049378,0.5,2.0959275156789414,-0.9987480963996367,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.06447542257344821,0.0,0.0,0.06441627671175025,0.5,1.135404017713734,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.0309727840069199,1.0424069733079955,1.289913964022876,1.335956359950148,0.5,0.05359335537800566,-0.7503642449044616,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.01721936930709726,0.6476474204335275,0.9823360197427797,1.194726007909144,0.5,0.3304471748616973,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.12161428147050662,0.0,0.0,0.07291270429363111,0.5,2.84239514387561,-1.0,20.0
