RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.05640152883507345,0.4813891852699666,0.0,0.5437240581275464,0.5,-0.08063029095147352,-0.03601406337970282,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.028874012709312523,0.21116114217752693,0.0,0.5098811263934815,0.5,-0.02587115243140701,-0.6047147582168473,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.03605902495045241,0.22935085474712433,0.0,0.5555483852707231,0.5,-0.10647166263609373,-0.46305419852777624,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.030607922537610834,0.4125245359496848,0.0,0.36764157866775854,0.5,-0.026045709083151278,-0.21414662320485947,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08026452373899394,0.6873612492382145,0.28818574822798926,1.3356434516962217,0.5,-0.9934377310190637,0.6987706821296785,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.028937503211347512,0.33763257094755006,0.0,0.47903048331666087,0.5,-0.09214975131594773,-0.4559920225062524,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06075236696654089,0.5175210163041984,0.0,1.2438000138529255,0.5,-1.0,0.5699189292829612,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.02750249287542571,0.1733514882269329,0.0,0.4596243945477292,0.5,-0.0019572479873462955,-0.5682392806111017,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.024776997708069817,0.20532317824602977,0.0,0.43188825353526805,0.5,-0.004644217283679034,-0.7530618658565079,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.030643301508346776,0.5258819131095281,0.0,0.4011525706024611,0.5,-0.2779086362929482,0.7977851113098028,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
