RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.16847786752790817,1.895604746693274,0.05791410474512855,0.0862653167968178,0.5,-0.9288229277969381,4.6593744461743345,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.058238963240146095,0.30462631312498495,1.69460046461291,0.5740421597306719,0.5,-0.0483547959877831,5.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.19852013518737513,0.44170443129574083,0.0,1.5136266951399346,0.5,-1.0,5.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.07837723641358726,1.121063103351174,0.12859504304935862,0.024423899196221798,0.5,0.11567622450424488,4.469931477564058,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.1386856049170996,0.5878524830884041,0.16831123031661666,1.5252066338130095,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.059130582506780834,0.0,1.761402435566812,0.4698679145346601,0.5,0.8773725340158358,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.07619869253258693,0.5276759974931939,0.009105156223295455,1.283501429115205,0.5,-1.0,0.9624565182048818,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.06807545391120685,0.0739028978914685,2.43570343092715,0.47239640313304054,0.5,0.42975764428412805,5.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.06299200154139682,0.2522458942793672,2.2577751195232643,0.5803187347168915,0.5,-0.027671484546118945,5.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.07539204878456872,0.0,3.437118804638218,0.7166351194373388,0.5,0.8600269461649457,5.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.09651923529671808,0.22966714023652712,5.0,0.6450298220541998,0.5,0.8759887686266249,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.06291360148627423,0.692661904441412,0.0,1.6754240963216696,0.5,-1.0,0.7150002019248981,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.14971370513570928,0.7986376625555902,0.0,0.5924391421530264,0.5,-1.0,3.0357812900217507,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.22112962378381734,0.7387758281079865,0.0,0.5319660854979679,0.5,-1.0,3.365413940292261,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
