RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.05755823965338336,0.24978979839650833,0.0,0.5713528068261781,0.5,0.3190704243734557,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.028945567492105508,0.18826286431154474,0.0,0.6037014339402085,0.5,-0.04650261589430631,0.004210733728998573,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.036134471398259316,0.23875827205252864,0.0,0.5463813362275085,0.5,-0.1190385627255223,0.002858750873698712,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03052206699803496,0.4376164848652066,0.0,0.3138472475552089,0.5,0.006794091480371477,0.12040461552254529,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.07577956521398106,0.5233132063581044,0.3593027310832337,0.9975700997082257,0.5,-0.11456081405374482,-0.29218738787636456,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.028894085837594893,0.2706126198868168,0.0,0.6176383914056944,0.5,-0.06326727781349245,0.3408786481947586,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.051932389572666764,0.45219624714791057,0.0,1.1971270803467648,0.5,-0.826233902452853,-0.2806362162088846,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.027510609279797378,0.1647844768035846,0.0,0.5024509904302422,0.5,-0.039192728418475514,0.330321348305998,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.024856430788001017,0.2127764239634096,0.0,0.4626977172065833,0.5,-0.04131959696200443,0.5161718362627706,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0022054871660361045,0.432483230764988,0.4971513814884414,0.5580701906518917,0.5,-0.06010108821319041,0.7739172975363016,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04128899992721032,0.5384305103030458,0.0,0.5584250672311987,0.5,-0.1095161729113019,-0.17504262193400597,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.036738092996101,0.5121951713074263,0.0,1.572205995881612,0.5,-0.5262022965061871,-0.20853667493088557,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03000302513461445,0.13528720811941705,0.0,0.9805123448581029,0.5,-0.019402675724910584,0.08461368355101251,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.03678825989983468,0.402199574538737,0.0,0.4959050595422638,0.5,-0.1798680671414654,0.2833732330069737,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.007560598542405291,0.6081889347656539,0.7906671446742487,0.49619312744405986,0.5,-0.33549390251535316,0.4508682777421188,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.0375874317942552,0.26157951373221044,0.0,0.5313801514262397,0.5,-0.048112490776261826,0.04913394445537679,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.05203527227361262,0.3817775746034083,0.0,0.825592628235015,0.5,0.20757447425230646,-0.4936978880250715,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.022031653119183172,0.21219616720265763,0.0,0.5169228895800665,0.5,0.00801342805495105,0.35641476174313097,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.01968611743222335,0.0,0.0,0.5247553792109019,0.5,1.7223978655884056,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07013657158754409,0.0004565365291528985,0.0023827047099675936,0.0011570883375261215,0.5,0.4643308037218318,-0.980156744471988,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.038959103992875395,0.215954282518238,0.0,0.5153722778497888,0.5,-0.06286902943947008,0.0941312704738204,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04774804974270624,0.0,1.301941486305216,0.271727540955565,0.5,4.9724295416604045,1.861229261444373,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.0392570996021571,0.12184394700086389,1.9476565800920866,0.21462208714459213,0.5,5.0,1.079738101633447,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
